status,planned_event_id,start_time
COMPLETED,004adbbc-853c-4dc1-ad66-903c56db1221,2021-06-10
COMPLETED,0059a9b9-acbc-406a-9ac8-2692fc6f131d,2021-04-09
COMPLETED,0073bf52-c810-4b5a-bc18-91ee3799e482,2021-04-27
COMPLETED,0074d31a-23d3-43da-ae74-7471d2fd4fba,2022-10-11
COMPLETED,00947f95-2eb0-4ccf-92b2-7a24aaa76e90,2021-04-28
COMPLETED,009e371d-8963-4ff6-84c5-732fce0a64cf,2021-06-28
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-16
CANCELED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-17
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-18
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-19
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-20
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-21
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-22
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-23
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-24
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-25
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-26
CANCELED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-27
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-02-28
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-01
CANCELED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-02
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-03
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-04
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-05
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-06
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-07
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-08
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-09
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-10
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-11
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-12
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-13
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-14
CANCELED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-15
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-16
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-17
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-18
CANCELED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-19
COMPLETED,01273695-09a3-4e69-acd6-1675f97f3a08,2022-03-20
