id,recurring_expression,client_id,created_at,start_time,end_time,terminated_time
7e5f9b5e-6b1a-410a-96f8-01c4a25943a5,"{""rrule"": ""DTSTART:20200316T105224\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-03-16,2020-03-16,2020-03-16,
b467be42-5183-4d0d-a98c-be547f60dada,"{""rrule"": ""DTSTART:20200403T110052\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2020-04-02,2020-04-03,2020-04-03,
ef32717b-f03c-4084-8789-22c3efd0f4a6,"{""rrule"": ""DTSTART:20200707T170312\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-07-07,2020-07-07,2020-07-07,
3e9fa223-74a7-4cc1-9345-227eef9bc0a1,"{""rrule"": ""DTSTART:20200715T195542\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-07-15,2020-07-15,2020-07-15,
f2aea06e-b92a-48b0-9756-692c4b8f83c0,"{""rrule"": ""DTSTART:20200831T175212\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-07-30,2020-08-31,2020-08-31,
a9713bd3-ae86-4689-b7dd-f94b6c09d197,"{""rrule"": ""DTSTART:20200923T150205\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2020-09-23,2020-09-23,2020-09-23,
8c331486-7ded-41d2-8a67-491b47a581b4,"{""rrule"": ""DTSTART:20201011T110025\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2020-10-05,2020-10-11,2020-10-11,
d1caa39f-31e7-43f0-a375-2e828c1e8a6d,"{""rrule"": ""DTSTART:20201103T104913\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-11-03,2020-11-03,2020-11-03,
8ed610d7-e313-46eb-a114-b5607e544813,"{""rrule"": ""DTSTART:20201111T145905\nRRULE:FREQ=DAILY;COUNT=1\nEXDATE:20201111T145905"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2020-11-11,2020-11-11,2020-11-11,
476e837d-6cc7-4780-8fdc-f1ffb9c5ba67,"{""rrule"": ""DTSTART:20201212T151507\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2020-12-11,2020-12-12,2020-12-12,
4271d1f8-d8c4-4e33-8a69-8ab57b7d9d3d,"{""rrule"": ""DTSTART:20201212T190002\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2020-12-11,2020-12-12,2020-12-12,
0bbb547a-f464-481e-aeba-0ad1dbde3c1e,"{""rrule"": ""DTSTART:20210125T183042\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2021-01-25,2021-01-25,2021-01-25,
3eeb045c-503e-4a17-bbee-67fd7878070d,"{""rrule"": ""DTSTART:20210326T102500\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2021-03-24,2021-03-26,2021-03-26,
9ffe490c-f9f7-4676-98ae-01a1aaef5b1b,"{""rrule"": ""DTSTART:20210329T104206\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-03-29,2021-03-29,2021-03-29,
71f17cf3-4214-45d9-b14a-ac358a90d1b9,"{""rrule"": ""DTSTART:20210330T161041\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-03-30,2021-03-30,2021-03-30,
e86f98d6-28d9-41f6-aac1-418b630ca703,"{""rrule"": ""DTSTART:20210330T160630\nRRULE:FREQ=DAILY;COUNT=1;UNTIL=20210330T160629"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2021-03-30,2021-03-30,2021-03-30,
83f9814e-9711-427a-b9d7-f3ea7ea57a62,"{""rrule"": ""DTSTART:20210416T183856\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-04-15,2021-04-16,2021-04-16,
f126f980-f3fb-43b7-8f5d-4d42887ca8c2,"{""rrule"": ""DTSTART:20210416T183856\nRRULE:FREQ=DAILY;COUNT=1;UNTIL=20210416T183855"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-04-15,2021-04-16,2021-04-16,
e8e99bf7-e248-4cc1-b9ca-58f9e4b07a34,"{""rrule"": ""DTSTART:20210423T173025\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2021-04-23,2021-04-23,2021-04-23,
0e0695a1-49de-45fb-bbc0-cc34371f7650,"{""rrule"": ""DTSTART:20210623T222651\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-06-23,2021-06-24,2021-06-24,
7d3e9c23-b64f-434a-9d87-966dd7b84c37,"{""rrule"": ""DTSTART:20210624T223155\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": false}",2c7461c5fa8e6dd2062d942b45aa5633,2021-06-23,2021-06-25,2021-06-25,
c085efc9-eacd-4186-96f9-232166186977,"{""rrule"": ""DTSTART:20210710T172154\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-07-10,2021-07-10,2021-07-10,
ea307114-26aa-4062-a7cb-152478107654,"{""rrule"": ""DTSTART:20210710T172434\nRRULE:COUNT=1;FREQ=DAILY"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-07-10,2021-07-10,2021-07-10,
ee5dee76-7fb4-4e06-9f9f-9313c33bee09,"{""rrule"": ""DTSTART:20210929T150000\nRRULE:FREQ=DAILY;COUNT=1;UNTIL=20210929T145959"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-09-29,2021-09-29,2021-09-29,
72c15ba7-89c4-4bbc-8079-b168062f4fe2,"{""rrule"": ""DTSTART:20210929T140000\nRRULE:FREQ=DAILY;COUNT=1\nEXDATE:20210929T140000"", ""margin"": {""after"": 0, ""before"": 0}, ""reminder_margin"": [{""after"": 0, ""before"": 0}], ""reminder_enabled"": true}",2c7461c5fa8e6dd2062d942b45aa5633,2021-09-29,2021-09-29,2021-09-29,
